10:20:21.318 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 408 ms
10:20:21.355 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
10:20:21.359 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-8 - Starting...
10:20:21.538 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-8 - Start completed.
10:20:21.539 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
10:20:21.604 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
10:20:21.605 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
10:20:21.636 [restartedMain] INFO  c.i.u.b.r.UMSBIReportApplication - Rest Template object created
10:20:21.666 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10:20:21.747 [restartedMain] WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
10:20:21.861 [restartedMain] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
10:20:21.962 [restartedMain] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
10:20:21.990 [restartedMain] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
10:20:21.992 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
10:20:21.992 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
10:20:21.992 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
10:20:21.993 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
10:20:21.993 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
10:20:21.993 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
10:20:21.993 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
10:20:21.993 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
10:20:21.993 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
10:20:22.003 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
10:20:22.004 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
10:20:22.005 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
10:20:22.005 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1699937422005 with initial instances count: 8
10:20:22.006 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application UMS-BI-REPORTING-SERVICE with eureka with status UP
10:20:22.006 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1699937422006, current=UP, previous=STARTING]
10:20:22.006 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_UMS-BI-REPORTING-SERVICE/IKCON1049:UMS-BI-REPORTING-SERVICE:9009: registering service...
10:20:22.007 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9009"]
10:20:22.014 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_UMS-BI-REPORTING-SERVICE/IKCON1049:UMS-BI-REPORTING-SERVICE:9009 - registration status: 204
10:20:22.016 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9009 (http) with context path ''
10:20:22.017 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9009
10:20:22.105 [restartedMain] INFO  c.i.u.b.r.UMSBIReportApplication - Started UMSBIReportApplication in 1.488 seconds (JVM running for 60171.143)
10:20:22.107 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:25:22.054 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
10:27:43.554 [http-nio-9009-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:27:43.557 [http-nio-9009-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:27:43.631 [http-nio-9009-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 73 ms
